Hour,January,April,July,October
1,7933.499285714285,7467.212857142857,9130.512857142856,7368.697142857143
2,8315.896428571428,7280.418571428571,8730.565714285714,7161.79357142857
3,8227.225,7173.909999999999,8441.139285714287,7020.949285714286
4,8227.102857142856,7134.918571428572,8287.31857142857,6969.43857142857
5,8344.50857142857,7228.5764285714295,8270.147857142856,7034.726428571427
6,8667.685714285715,7541.787857142856,8376.080714285714,7319.616428571428
7,9207.55357142857,8019.017142857142,8768.408571428572,7865.554999999999
8,9508.157857142856,8324.175,9397.647142857142,8130.439285714284
9,9551.102142857142,8505.015714285713,9915.914285714285,8369.728571428572
10,9597.757857142858,8592.412142857143,10429.167142857144,8577.970714285713
11,9621.260714285714,8662.072857142857,10904.242857142859,8785.235714285713
12,9593.950714285715,8664.468571428572,11253.914285714285,8899.613571428572
13,9549.270000000002,8648.265,11519.564285714287,8970.227857142858
14,9526.1,8646.967857142858,11755.307142857142,9033.636428571428
15,9500.905714285715,8593.017857142857,11924.585714285713,9022.675714285713
16,9541.173571428571,8527.22,12042.228571428572,8990.47857142857
17,9877.560714285715,8473.24,12091.32142857143,8922.624285714288
18,10295.113571428572,8440.890714285715,12008.607142857145,8832.525714285714
19,10242.227142857142,8442.486428571427,11684.007142857143,8953.02642857143
20,10138.432142857142,8710.908571428572,11305.222142857141,9101.617142857143
21,9976.613571428574,8817.073571428571,11054.992142857143,8926.009285714286
22,9702.432142857144,8595.168571428572,10865.045714285716,8627.599999999999
23,9255.635,8185.74142857143,10283.483571428573,8164.407142857142
24,8830.212857142858,7752.51857142857,9631.515,7704.578571428572
