"s","Val"
"scen1",209339015420.147
"scen10",205537297860.658
"scen11",219736315206.128
"scen12",238832499693.458
"scen13",197754470844.654
"scen14",211040174298.488
"scen15",216633906809.758
"scen16",221339481912.169
"scen17",216507924528.045
"scen18",216734032541.127
"scen19",200074513340.477
"scen2",193725500900.75
"scen20",225172027971.104
"scen3",243937811917.509
"scen4",216939913215.263
"scen5",232352787959.311
"scen6",210022508427.492
"scen7",279729045894.221
"scen8",223161508917.468
"scen9",211315475991.287
