"s","Val"
"scen1",218374419868.348
"scen10",205549654978.33
"scen11",257508495961.931
"scen12",220358989097.124
"scen13",205510843604.754
"scen14",229413889836.873
"scen15",214848159214.632
"scen16",205295491990.335
"scen17",211559858437.424
"scen18",231181934616.682
"scen19",223073468720.901
"scen2",192455434004.086
"scen20",225665967614.274
"scen3",197945767983.693
"scen4",207368900966.409
"scen5",205403927543.589
"scen6",203972058815.46
"scen7",210483613341.155
"scen8",231137723709.268
"scen9",198310544539.164
