"s","Val"
"scen1",315685676039.906
"scen10",215228065690.909
"scen11",205148400382.054
"scen12",183948353666.144
"scen13",194133956792.299
"scen14",211356832400.921
"scen15",251394573395.142
"scen16",223458460020.302
"scen17",222559139982.59
"scen18",221579432028.873
"scen19",226790061988.327
"scen2",218508048668.026
"scen20",217048549780.592
"scen3",252279131504.493
"scen4",242306860112.202
"scen5",230671182811.053
"scen6",240744696929.496
"scen7",217342583777.781
"scen8",219014489221.024
"scen9",225442295662.381
