"","state","fips"
"1","alabama",1
"2","arizona",4
"3","arkansas",5
"4","california",6
"5","colorado",8
"6","connecticut",9
"7","delaware",10
"8","district of columbia",11
"9","florida",12
"10","georgia",13
"11","idaho",16
"12","illinois",17
"13","indiana",18
"14","iowa",19
"15","kansas",20
"16","kentucky",21
"17","louisiana",22
"18","maine",23
"19","maryland",24
"20","massachusetts:martha's vineyard",25
"21","massachusetts:main",25
"22","massachusetts:nantucket",25
"23","michigan:north",26
"24","michigan:south",26
"25","minnesota",27
"26","mississippi",28
"27","missouri",29
"28","montana",30
"29","nebraska",31
"30","nevada",32
"31","new hampshire",33
"32","new jersey",34
"33","new mexico",35
"34","new york:manhattan",36
"35","new york:main",36
"36","new york:staten island",36
"37","new york:long island",36
"38","north carolina:knotts",37
"39","north carolina:main",37
"40","north carolina:spit",37
"41","north dakota",38
"42","ohio",39
"43","oklahoma",40
"44","oregon",41
"45","pennsylvania",42
"46","rhode island",44
"47","south carolina",45
"48","south dakota",46
"49","tennessee",47
"50","texas",48
"51","utah",49
"52","vermont",50
"53","virginia:chesapeake",51
"54","virginia:chincoteague",51
"55","virginia:main",51
"56","washington:san juan island",53
"57","washington:lopez island",53
"58","washington:orcas island",53
"59","washington:whidbey island",53
"60","washington:main",53
"61","west virginia",54
"62","wisconsin",55
"63","wyoming",56
