,l_lat,l_long,select
Montgomery_AL,32.361538,-86.279118,
Juneau_AK,58.301935,-134.41974,1
Phoenix_AZ,33.448457,-112.073844,1
Little-Rock_AR,34.736009,-92.331122,1
Sacramento_CA,38.555605,-121.468926,1
Denver_CO,39.7391667,-104.984167,1
Hartford_CT,41.767,-72.677,1
Dover_DE,39.161921,-75.526755,1
Tallahassee_FL,30.4518,-84.27277,1
Atlanta_GA,33.76,-84.39,1
Honolulu_HI,21.30895,-157.826182,1
Boise_ID,43.613739,-116.237651,1
Springfield_IL,39.78325,-89.650373,1
Indianapolis_IN,39.790942,-86.147685,1
Des-Moines_IA,41.590939,-93.620866,1
Topeka_KS,39.04,-95.69,1
Frankfort_KY,38.197274,-84.86311,1
Baton-Rouge_LA,30.45809,-91.140229,1
Augusta_ME,44.323535,-69.765261,1
Annapolis_MD,38.972945,-76.501157,1
Boston_MA,42.2352,-71.0275,1
Lansing_MI,42.7335,-84.5467,1
Saint-Paul_MN,44.95,-93.094,1
Jackson_MS,32.32,-90.207,1
Jefferson-City_MO,38.572954,-92.189283,1
Helana_MT,46.595805,-112.027031,1
Lincoln_NE,40.809868,-96.675345,1
Carson-City_NV,39.160949,-119.753877,1
Concord_NH,43.220093,-71.549127,1
Trenton_NJ,40.221741,-74.756138,1
Santa-Fe_NM,35.667231,-105.964575,1
Albany_NY,42.659829,-73.781339,1
Raleigh_NC,35.771,-78.638,1
Bismarck_ND,46.813343,-100.779004,1
Columbus_OH,39.962245,-83.000647,1
Oklahoma-City_OK,35.482309,-97.534994,1
Salem_OR,44.931109,-123.029159,1
Harrisburg_PA,40.269789,-76.875613,1
Providence_RI,41.82355,-71.422132,1
Columbia_SC,34,-81.035,1
Pierre_SD,44.367966,-100.336378,1
Nashville_TN,36.165,-86.784,1
Austin_TX,30.266667,-97.75,1
Salt-Lake-City_UT,40.7547,-111.892622,1
Montpelier_VT,44.26639,-72.57194,1
Richmond_VA,37.54,-77.46,1
Olympia_WA,47.042418,-122.893077,1
Charleston_WV,38.349497,-81.633294,1
Madison_WI,43.074722,-89.384444,1
Cheyenne_WY,41.145548,-104.802042,1
